title,description,real_salary
Программист/консультант 1С (стажёр),"Знание как минимум одного языка программирования. Опыт работы с базами данных приветствуется. Умение работать в команде, ответственность, быстрая обучаемость, желание... Участие в проектах автоматизации предприятий на базе платформы 1С 8. Доработка прикладных решений на базе платформы 1С 8...",32500.0
Программист 1С,"Опыт работы программистом/разработчиком 1С от 1-го года. - Вы умеете писать код в соответствие со стандартами (без фанатизма). -  Наша основная специализация: оптово-розничная продажа товаров повседневного спроса(упаковка, бытовая химия, канцтовары, хозтовары). - система учета заявок и проектов. - ",120000.0
Программист,"обязательное знание языков программирования (С, C++, Ассемблер, Visual Basic (Visual Studio). - опыт работы с 32 разрядными микроконтроллерами (NXP, SТM и... проектирование и разработка программного обеспечения (ПО) в соответствии с требованиями ГОСТов и другой нормативно-технической документации. - внедрение ПО и организация...",130500.0
Программист (в офис),"Знание основ HTML, PHP, Node.js, Vue.js, Bootstrap, Vuetify. ",45000.0
программист 1с,  ,200000.0
Ведущий инженер-программист (тестировщик),"Высшее профессионально образование (программирование). Опыт работы конструктором-программистом С С++. Знания методологий и методик тестирования, знание стандартов в области тестирования.  Тестирование разрабатываемых программно-аппаратных комплексов в составе систем электропривода. Анализ документации. Выполнение тестовых процедур.",56528.25
Web-программист (офис),"Ищем в команду ответственного, отзывчивого и внимательного к деталям человека, который имеет требуемый опыт работы, хочет достигать свои финансовые цели... Разработка и администрирование сайтов, в частности Frontend и базовый Backend. Интеграция сайтов с внешними и внутренними системами.Установка на CMS: 1...",130000.0
Программист .NET,"Высшее образование. Опыт разработки приложений на ASP.NET MVC, HTML, CSS, JavaScript, jQuery, Entity Framework, базы данных MS SQL Server.  Full-stack разработка и поддержка ASP.NET MVC приложений, веб-сервисов и других продуктов. Использование GitLab в качестве системы контроля версий...",69600.0
Инженер-программист (Web-разработчик),"Профессиональное владение БИТРИКС: УПРАВЛЕНИЕ САЙТОМ. Практические знания PHP7.1+: (namespaces, traits, etc), стандартов PSR, SOLID принципов, умение пользоваться... Создание нового сайта и редактирование основного сайта компании, верстка и программное наполнение. (Динамические страницы, выборки из базы данных по критериям...",32500.0
"Программист 1C 8.2, 8.3","Опыт разработки (программирования) на платформе 1С 8.2, 8.3 от 2-х лет. Приветствуется наличие сертификата 1С... Доработка конфигурации 1С 8.2 Астор «Торговая сеть». Формализация и систематизация требований заказчика к информационной системе. Тестирование.",134850.0
аналитик-программист,"   Задачи: - Проведение обследований и функционального моделирования; - Согласование с заказчиком требований к ПО и выбор оптимальных решений; - Настройка типового функционала, написание инструкций; - Постановка задач внешним исполнителям; - Формирование Технических заданий разработчикам; - Организация тестирования ПО и приемка работ; - Контроль качества работы исполнителей; - Ведение задач в CRM компании: постановка и контроль задач; - Разработка планов внедрения и соблюдение сроков. Требования: - Высшее образование (экономическое, техническое); - Опыт работы с 1С от 3-хлет; - Знание двух и более из конфигураций: 1С:ERP, 1С:КА, 1С:БП, 1С:ЗУП, 1C:БИТ.Строительство (Финанс), 1С:КД; - Знание управленческого, бухгалтерского и финансового учета; - Понимание языка программирования 1С и СКД; - Умение читать чужой код и пользоваться отладчиком; - Опыт работы в качестве руководителя проекта, аналитика в проектах перехода, миграции, внедрения ПО 1С: Предприятие; - Умение анализировать и структурировать информацию; - Хорошие коммуникативные навыки, грамотная речь. Будет плюсом: - Опыт разработки и оптимизации кода 1С; - Успешный опыт работы руководителем проектов по внедрению и миграции ПО, подтверждённый рекомендациями работодателя или заказчика; - Опыт реализации проектов в сфере строительства; - Наличие сертификатов 1С. ",100000.0
Тренер тренажерного зала и групповых программ в Сочи,"Имеешь профильное образование, а также сертификаты о прохождении специализированных курсов. Отлично понимаешь анатомию, физиологию и теорию физической культуры.  Проведение персональных и групповых тренировок (с учетом вашей специализации). Дежурство в тренажерном зале. Составление индивидуальных программ тренировок с учетом особенностей...",80000.0
Программный редактор радиостанций,"Опыт работы в смежной сфере от 1 года (радио, ТВ, СМИ). Опыт ведения аккаунтов ВК. Креативность, грамотная речь, отличное владение... Соблюдение форматов и редакционной политики радиостанций, которые находятся в вашей компетенции. Коммуникация с региональными службами федеральных радиостанций. Согласование всех эфирных...",25000.0
Программист," Основные направления работы: 1. Верстка прокл по ТЗ. 2. Подключение офферов (настройка Апи, скриптов, постбека и т.п.). 3. ",35000.0
Программист-стажер," использование выбранной среды программирования для разработки процедур интеграции программных модулей. - разработка/доработка процедур, обеспечивающие возможность выполнения проверки ошибок данных перед...",26100.0
Бекенд-программист / Backend-developer/ Golang (удаленно),"SQL join запросы, индексы. Утилиты консольной строки: cat, sed, awk, cut, top …. Docker (умение написать докер-файл, запустить контейнер и... Разрабатывать бэкэнд (для веб-приложения и iOS/ Android - приложения) проекта ""SoftSkills"".",130000.0
Программист,"Знание конфигурации 1С ERP. Коммуникабельность, желание и способность общаться с людьми. Программирование в 1С. Консультирование пользователей по работе в 1С ERP, оперативное решение вопросов и проблем.",30000.0
Программист 1С - Middle Expert / Senior,"Опыт программирования в 1С. Умение писать нетривиальные запросы, которые работают быстро. Опыт разработки обменов данными в различных форматах.  Программировать на платформе 1С: 8.3 (Обычные и управляемые формы). Дорабатывать конфигураций по корректно сформулированным техническим заданиям. ",185000.0
Ведущий программист 1С," Участие в автоматизации бизнес-процессов компании на базе 1С УПП (Подсистемы продажи, производство, закупки, логистика /БДДС/БДР/консолидация и...",150000.0
наладчик станков и манипуляторов с программным управлением,"Компас-3D Точность и внимательность к деталям Автоматизированное рабочее место (АРМ) Уверенный пользователь ПК Compass 3D  Наладка на холостом ходу и в рабочем режиме механических и электромеханических устройств станка с программным управлением для обработки сложных деталей. выполнение расчетов, связанных с наладкой, управлением и пуском станков с программным управлением. Наладка нулевого положения и зажимных приспособлений. Установление технологической последовательности обработки. Подбор режущего, контрольно-измерительного инструмента и приспособлений по технологической карте. Установка и смена приспособлений и инструмента в системе координат. Отладка, изготовление деталей и сдача их в ОТК. Корректировка режимов резания по результатам станка. Проверка станков на точность. Среднее специальное или высшее образование; Опыт работы на металлообрабатывающем оборудовании (токарная группа) от 1 года; Навыки в разработке управляющих программ со стойки управления оборудования; Знание современных методов в обработке материалов на станках с ЧПУ, современного режущего инструмента и оснастки; Умение читать конструкторскую и техническую документацию. График работы пн-пт с 8:00 до 17:00; Официальное оформление по ТК РФ; Официальная заработная плата, выплаты 2 раза в месяц; Оплачиваемый больничный, отпуск; Медицинское обслуживание; Спец. одежда, необходимые инструменты; Ежегодная индексация заработной платы. ",39400.0
"Программист Битрикс (PHP, Bitrix, веб разработчик)","Высокий уровень ответственности, 8 часовой рабочий день / 40ч. рабочая неделя. Опыт веб разработки с Битрикс / Bitrix API от 3... Реализация новых, интересных сервисов и функций, направленных на развитие сайта и платформы. Командная разработка основного сайта ИМ на PHP / Bitrix. ",150000.0
Начинающий программист,"Навыки делового общения, грамотная устная и письменная речь. Способность работать в режиме многозадачности. Умение работать в команде. Высшее образование. Обработка запросов пользователей на изменения и устранение инцидентов в работе; информационных систем на базе 1С. Доработка конфигурации, дополнительных внешних...",60000.0
Программист 1С,"Опыт программирования 1С 8.2 и 8.3. Знание конфигураций Альфа-Авто, БП, ЗУП (приветствуется). Опыт работы с управляемыми... Доработка и сопровождение нетиповых конфигураций 1С (Альфа-Авто, БП, ЗУП, ДО). Обновление типовых и нетиповых конфигураций. Создание обработок и...",105000.0
Программист 1С,"Знание и практический опыт работы в 1С: Предприятие (версии 8.2, 8.3). Умение оптимизировать производительность системы 1С.  Разработка (кодинг) системы в соответствии с архитектурой решения и планом работ. Доработка существующих модулей, отчетов, интерфейсов. Поддержка уже существующей в...",152250.0
Инженер-программист АСУ ТП,"Знание принципов построения АСУ ТП, архитектуры систем автоматизации и диспетчеризации. Понимание принципов работы приборов КИПиА. Желательно: Python, C++, Codesys. Участие в приемо-сдаточных испытаниях разработанного решения совместно с полевыми инженерами. Подготовка документации по разделам ИО/МО/ПО совместно с...",100000.0
Web-программист,"Стек технологий - php, js, mysql, css, html. CMS сайтов различные, но все популярные и известные (Bitrix, WordPress, Modx, Open Cart... Нужен специалист, который будет готов выполнять поручения маркетолога / руководителя по доработке / улучшению / оптимизации сайтов. - техническая и SEO оптимизация сайтов по...",35000.0
Танцовщица/Танцовщик эксклюзивной шоу-программы,Отсутствие опыта работы в этой сфере или умения танцевать не является препятствием - проводится бесплатное обучение. Работа с хореографами. Стилистика костюмов для танцевальных номеров разрабатывается Вами совместно с нашим хореографом с учетом направления и стиля танца.,110000.0
Инженер-программист,"Опыт программирования ПО ПЛК SIEMENS S300, S400 (Step7, TIA portal). Опыт программирования InTouch, WinCC. Наличие высшего технического... ...случае возникновения запросов от производства. Это основная часть работы (примерно 70% времени). Поиск неисправностей оборудования путем изучения логики работы программы.",60030.0
Web-программист,"Уверенные знания технологий разработки Web-приложений. Уверенные знания PHP, JavaScript. Уверенные знания в области баз данных и SQL (MySQL).  Разработка технического задания. Разработка технологий решения поставленных задач. Разработка проекта решения. Поддержка, доработка и развитие внутренних программных продуктов и web...",57500.0
Программист,"Высшее профессиональное (техническое) образование и стаж работы не менее 3-х лет. Настройка программного обеспечения, оргтехники,техническая поддержка пользователей. -Серверное физическое оборудование (контроль и управление компонентами серверного оборудования). -Сетевое оборудование, маршрутизация и...",26100.0
Программист-разработчик,"   В крупную оптово-розничную компанию приглашаем на работу ПРОГРАММИСТА. Основные обязанности: - Подготовка Спецификаций требований и Технических заданий; - Разработка и внедрение ПО; - Участие в разработке документации к ПО; - Поддержка и сопровождение ПО в эксплуатации. Требования: Высшее образование/среднее специальное Профессиональные знания и навыки разработчика приложений на платформе 1С:8 Наличие сертификатов 1С приветствуется Условия: График работы: понедельник-пятница; 09:00-18:00. Трудоустройство согласно ТК РФ, соц.пакет. Корпоративное обучение и возможность профессионального развития. Вас ждет дружная команда профессионалов, а также участие в интересных, инновационных проектах. Достойная заработная плата определяется с финалистом по результатам собеседования 1С программирование",65000.0
Ведущий инженер-программист АСУПТ,"Опыт разработки программного обеспечения на С, С++. Уверенное знание технологий ООП. Опыт использования систем контроля версий (Git, svn).  Разработка новых модулей и функций в рамках существующей системы ACУ ТП (контроллер ICP DAS, язык С/С++). Разработка программного обеспечения...",100050.0
"Фитнес-тренер по растяжке, aero, пилатесу/силовым программам","Поперечный и продольный шпагат, чтобы стать примером для наших учеников! (если вы тренер по растяжке или aero, для интенсивных тренировок... Проводить групповые и персональные тренировки. - Развитие в учениках интереса к растяжке и фитнесу. - Вести внутренние элементарные отчеты. - Посещать обязательные планёрки.",35000.0
Стажер-программист 1с в it компанию,"С++ Pascal 1С программирование Желание учиться  Особая просьба ознакомиться с дополнительной информацией, а именно: 1. Работа ОЧНО т.е. в офисе - других вариантов нет. 2. Наша компания находиться в г. Владивосток. 3. Если Вы в том числе студент, возможен гибкий график подстроенный под обучение. Обязанности: Доработка и сопровождение программных продуктов 1С Требования: ??????Наличие базовых знаний любого языка программирования, инженерное или экономическое направление обучения, желание учиться. Условия: ??????1. Бесплатное обучение и аттестация на сертификаты 1С 2. Перспективное и востребованное направление деятельности 3. Работа в современном офисе. Просьба указывать в резюме: 1. Университет 2. Специальность ",90000.0
Старший программист 1С,"Интеграция со сторонними сервисами и сайтами (XML, JSON). - Опыт интеграций (веб-сайты, http, json, xml). 3 готовых сайта на платформе... Разработка под платформу 1С: Предприятие 8.3. Конфигурации: УНФ, БП, ЗУП, Розница. Обслуживание и доработка 4 баз. - ",100000.0
Инженер-программист,"Профильное высшее / среднее профессиональное образование. Знание HTML/CSS/PHP. Ответственность, внимательность, аккуратность, желание развиваться. Рассмотрим выпускников и студентов по профилю.  Поддержка сайтов. Разработка модулей и сервисов. Модернизация структуры сайтов. Составление инструкций.",21750.0
Программист PHP (Laravel) Middle,"Стек технологии: Любим хорошо структурированный (с паттернами и mvc), понятный и быстрый код. Что вам надо уметь? Программировать.  Программировать интересные проекты для клиентов мирового уровня: web-сервисы и сайты. Программирование в команде и Scrum на проектах.",110000.0
Преподаватель по робототехнике и программированию,"Высшее/неоконченное техническое или педагогические образование. Умение взаимодействовать с детьми. Пунктуальность, общительность. Позитивный настрой. Проводить очные занятия в группах по 8 детей по методическим материалам школы. Развивать логическое и алгоритмическое мышление детей. ",35000.0
Программист," Основные направления работы: 1. Верстка прокл по ТЗ. 2. Подключение офферов (настройка Апи, скриптов, постбека и т.п.). 3. ",35000.0
PHP-программист,"3. Знание протокола HTTP. 4. Опыт интеграции систем по API (JSON, CURL). 5. Элементарные знания HTML и JavaScript, технологии AJAX. 1. Программирование на PHP (написание скриптов, выполнение доработок). 2. Разработка новой функциональности, доработка, поддержка web-сайтов. 3. Написание SQL-запросов...",70000.0
Автор работ по Web-программированию,"1. Умение работать с большими объемами информации. 2. Ответственность, умение распределять рабочее время и количество поставленных задач. 3.  1. Качественно выполнять студенческие работы (дипломные, курсовые, контрольные, рефераты и тд.). 2. Выполнять необходимые корректировки. 3. Соблюдать установленные сроки и...",90000.0
Тестировщик программного обеспечения,Знание фундаментальных основ тестирования ПО. Коммерческий опыт тестирования ПО от 6 месяцев. Наличие высшего технического образования. Желание развиваться в области... Создавать и поддерживать в актуальном состоянии тестовую документацию. Тестировать наши сервисы. Документировать обнаруженные ошибки и контролировать их исправление разработчиками.,50025.0
Актриса/актер шоу программы,"Рассматриваем также без опыта (клуб предоставляет хореографа). С чувством стиля, чувством такта и артистическим данными. Участие в шоу программе иммерсивного театра. Исполнение сольных номеров.",300000.0
Программист,Опыт в написании кода мобильных приложений. Хорошая скорость выполнения работы. ,15000.0
PHP-программист,Опыт работы от 3-х лет в аналогичной должности. Умение разбираться в чужом коде и навыки рефакторинга. Уверенные знания PHP... Участие в проекте разработке новых продуктов. Доработка сайтов интернет-магазинов и программных модулей на платформе Bitrix. Работа с внутренними проектами...,180000.0
Наладчик-оператор станков с программным управлением,"Образование среднее профессиональное, высшее. Обязателен опыт работы на токарных станках с программным управлением (стойки Fanuк, NC). Рассмотрим операторов, если недостаточно... Работа с токарными станками: DL-30 со стойкой Fanuк Oi-TF, 16А20Ф3 со стойкой NC-201...",80000.0
Программист,Высшее профильное образование. Желание изучать новое. Опыт работы в языке программирования Delphi будет преимуществом. Желателен опыт работы с СУБД FireBird... Формирование выборок из баз данных. Написание небольших процедур.,34800.0
Программист .NET,"Высшее образование. Опыт разработки приложений на ASP.NET MVC, HTML, CSS, JavaScript, jQuery, Entity Framework, базы данных MS SQL Server.  Full-stack разработка и поддержка ASP.NET MVC приложений, веб-сервисов и других продуктов. Использование GitLab в качестве системы контроля версий...",69600.0
Инженер-программист, Разработка WEB-приложений для стендов новой космической станции. Разработка программной и эксплуатационной документации. Внедрение и поддержка разработанного ПО. ,60900.0
Программист-разработчик,Проекты и достижения ИТ-компании: крупные заказчики – образовательные организации высшего образования и производственные предприятия. Наличие высшего образования (рассмотрим начинающих специалистов... Соблюдение 1С: Предприятие 8. Система стандартов и методик разработки конфигураций для платформы и внутренних требований к коду. ,140000.0
Инженер-программист,"Знание языка FoxPro, 1С. Требования: Высшее профессиональное образование по направления подготовки в области информационных технологий. Требования к опыту практической... Разработка, изменение и выполнение отладки ПО. - Консультация пользователей. - Проектирование структуры данных, БД, программные интерфейсы.",49000.0
Стажер-программист 1С,"Наличие базовых знаний любого языка программирования. Желательно образование в области IT. Желание быстро развиваться, обучаться. Сопровождение программных продуктов 1 С. Консультации пользователей.",30000.0
Тренер тренажерного зала и групповых программ в Сочи,"Имеешь профильное образование, а также сертификаты о прохождении специализированных курсов. Отлично понимаешь анатомию, физиологию и теорию физической культуры.  Проведение персональных и групповых тренировок (с учетом вашей специализации). Дежурство в тренажерном зале. Составление индивидуальных программ тренировок с учетом особенностей...",80000.0
Программист-разработчик C#,"Наличие высшего технического образования, либо в т.ч. студенты старших курсов. Знания языка программирования C#, либо знания других языков программирования... ",125000.0
Помощник программиста 1С,"Навыки программирования. Высшее образование. Знание 1С 8. Аналитический склад ума. Ответственный подход к работе, умение работать в условиях многозадачности. Сопровождение и доработка типовых конфигураций (1С:Бухгалтерия 3.0, 1С:ЗУП 3.1, 1С:Документооборот 2.1). ",45000.0
Программист PHP,"Знание и понимание основ алгоритмизации и программирования. Понимание и практическое применение в работе принципов ООП, MVC, шаблонов программирования, принципов программирования... Разработка новых сайтов. Доработка существующих проектов. Общение с командой.",80000.0
Программист 1С,"Опыт работы в области бухгалтерии, ЗУП. Наличие сертификатов 1С по платформе 1С:Предприятие 8.x (желательно).  Участие в проектах внедрения и развития информационных систем на базе программных продуктов 1С: ERP, 1С: Бухгалтерия Предприятия 3...",170000.0
Инженер-технолог/программист ЧПУ,"Знание стоек Fanuc, знание G и М кодов. Умение программировать открытым текстом на стойке. Умение читать чертежи. Активность и желание... Разработка программ на станки ЧПУ. Разработка технологических процессов (создание маршрутных карт). Подбор режущего и измерительного инструмента.",69600.0
Программист PHP/ Разработчик 1С Битрикс,"Приветствуется понимание веб-технологий, опыт интеграции с различными внешними сервисами и знание 1С-Битрикс. Опыт создания и программирования сайтов... Доработка компонентов 1С-Битрикс, написание собственных компонентов, согласно техническому заданию. Проектирование технических и архитектурных решений, начиная с ранних этапов...",140070.0
Web-программист Bitrix24,"Имеете опыт работы с 1С-Bitrix, будет плюсом знание wordpress. Оптимизация быстродействия существующих скриптов. Знание JavaScript, jQuery, Ajax, MySQL.  Разработка новых сайтов. Интеграция сайтов на Битрикс с внешними системами и сервисами. Поддержка и доработка текущих сайтов.",94000.0
Middle/Senior Backend PHP программист,"Уверенное владение PHP + MySQL. Знание JavaScript, AJAX. Базовое знание front-end технологий. Опыт работы от 1 года.  Написание новых модулей и функционала по ТЗ. Доработка существующих функций, исправление багов.",108750.0
Программист 1С,"Высшее образование. Высокий уровень знаний платформы 1С8,3. Знание MS SQL, XML, WEB-сервисов. Понимание архитектуры типовых конфигураций. Разработка программ на платформе 1С8,3. Сопровождение программного продукта 1С. Доработка конфигураций под процессы компании. ",150000.0
Инженер-программист,"Среднее профессиональное/высшее образование (информационные технологии). Знание принципов функционирования сети Интернет. Умение работать с распространенными web-браузерами. Знание HTML, CSS... Реализация программной части и кода веб-ресурса на PHP 7.4. Верстка веб-ресурса в соответствии с разработанной концепцией. ",40000.0
"программист python (junior, middle, senior)","   Наша компания Море Вкусно занимается добычей, переработкой и оптовой реализацией морепродуктов со всего дальнего Востока, а также разработкой собственного программного обеспечения в соответствующей отрасли в рамках замещения стороннего ПО . На сегодняшний день у нас более 350 номенклатурных позиций, более 200 довольных клиентов и согласно анализу конкурентов - мы являемся одними из самых сильных и перспективных игроков на рынке во Владивостоке. В связи с расширением, мы ищем новых сотрудников в IT отдел, а так же Руководителя, главной задачей которого будет УДАЛЁННАЯ помощь в координировании всех процессов отдела ПО. Навыки необходимые для работы: - Создание и обеспечение работы ПО на python - взаимодействие с базой данных - Работа с интеграцией на python - Написание обработчиков в 1c - Написание скриптов на python - работа с MSSQL - Пользование Linux системой - Тестовое задание с ОПЛАТОЙ по результату! Если чувствуешь отклик, не добавляй в избранное, а, сразу кидай свое интересное резюме с пометкой : ХОЧУ В КОМАНДУ ) Мы уверены, что, это ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ ДЛЯ ТЕБЯ! *P. S. резюме типо : коммуникабельный, стрессоустойчивый, исполнительный - тысячи! А, чем отличаешься ТЫ Примечание график работы 5\2, выходные плавающие с 9 до 19 - основной объем работы приходится на первую половину дня, большую часть задач в это время можно выполнить с телефона, остальные задачи можно выполнять по ситуации в удобное для себя время, опираясь на дедлайны Работа в команде Работа с большим объемом информации",240000.0
