text,sentiment
 irregularly. And Im (half-assedly) working on an essay. by saying half-assedly I really mean not at all. Words not even open,neutral
"  The website I`m developing - http://woo.sh lets you also share Videos, documents, maps and events - Later music too",neutral
 You`re such a sappy little fellow!  Thanks for all the well wishes. I`ll need them. After today I have one more exam.,positive
IE8 nearing 6% according to my stats. FF 3.0.10 adoption rate amazes me,positive
please?,positive
my 21month daughter`s seperation anxiety is intense. it`s killing me. i cant leave her sight without her breaking into an anxiety attack,negative
 too kind Jim too kind brother,positive
that `preview` of a trailer for new moon was a joke...14 seconds. still watched it tho. twice. lol figured i missed something! still sick,negative
 i thought you were gonna be at the show,neutral
ontd is our god,neutral
My brain hurts,negative
" I`m blue.  In other news, you will love tonight`s DC!",positive
[Wrong!]  thanx  your THE awesome! http://tinyurl.com/ddqpoa,positive
 Meant to ask how did the other night go? Did you enjoy the fight...did yas have an all-nighter?,positive
Moment over.... fly now in car,neutral
 It`s becoming a very tough race. Linda is indeed very talented. But someone has to go every week.  We cut two this week.,negative
"midnight cry.. wish the person I wanted, wanted me right now",neutral
I forgot to charge my cell last night and now it`s dead,negative
" LOL! based on my last post then, I`ll plan on using you as a reference",neutral
" I`m sorry, that stinks.",negative
So bored... need more people for rsmv !!  jagex doesn`t let u say RSMV unless its the first word u say in the sentence.. sad,negative
" - Bless you as well sweetie, and i hope you have a wonderful weekend",positive
"Work, work. Me not that kind o` orc.",neutral
 He`s been doing my makeup for YEARS... long before Tyra stole him away from us.,negative
"Just eaten, and feel extremely bloated...  now for the not so fun part.",negative
 I`m on mobile web and it won`t let me  it looks awesome though....and no one reads my tweets anyway.,neutral
 Makes me wish I had dogs instead of cats!,negative
"Slept like a log last night, now I`m full of energy",positive
"hey  please reply me, i can`t call you im from Mexico and i don`t know the code  love you",positive
@ work.. This week some new instrumentals.. stay updated,neutral
 Swimming is a no go for me,negative
dang that burrito and toaster strudle(sp?) was just a tease im still hungry,neutral
received her first pressie. Happy happy.,positive
GASP] pulleaase dont hate me if u ask me a question and i dont answer you ... at any given time. i just cant see you! sorry,neutral
" Haha, you didn`t do anything wrong.",positive
"just made it home, time for a shower and some breakie, off out to Blackpool later for some lunch",neutral
_awake GOOD MIDDAY.,positive
speakerphone with the bestie  love that kid http://tinyurl.com/qxyc2n,positive
good night! im off to sleeep!!!! 5 am  good mornining! xD,positive
 just stop talking if ur gonna be that mean,negative
watchin` a moovie...and im sited about going 2 ma friend Sara`s tomorrow at 9:00 a.m. She was injured   I luv ya`ll. i will keep u updated,neutral
 hm... i don`t I can recommend any white chocolates though.. you have to move to the `dark` side first..,neutral
 that`s not great  guy related??,neutral
"Holy **** it`s super sunny, Friday and Whitsun, my tube is deeeesearted. Wish I was in the park  http://tinyurl.com/ns2l55",neutral
" pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards",negative
watching snl with my ucsd girls and laughing about twitter/blackberry jokes  thought i`d tweet that.,positive
" You`re not the only one surprised that FreeTDS and UTF-8 don`t 'just work'. But you`ll get it right, eventually.",positive
 wow. hehehe. mushy-mushy mode.,positive
 thank you alot,positive
 No I LOVE Jordie`s version as well as Joe`s and Donnie`s ALL 3 are DIFFERENT,positive
 wow thanks for saying that man! I`d love to illustrate children`s books!,positive
 thank you for your comment,positive
"Just had some strawberries for afternoon snack, I love strawberries!! Gonna make a strawberry smoothie tonight after the gym",positive
Today I`m lonley girl with a guitar,neutral
 Thanks very much for the #ff  ! My only one today,positive
 haha.. good for you,positive
"Big Header Folio (http://bit.ly/MYmeA  has been up 2 hours, no sales yet  I`m really impatient lol",negative
hampa hatiku,neutral
is having a jam session in her room and then seeing star trek...again,neutral
watching my baby on snl !  baby you look greaaaaat ;),positive
Having Fever  dont feel to work,negative
 You`ll be waiting a loooong time,neutral
 Sooo SAD I will miss you here in San Diego!!!,negative
 perfect song!,positive
With E3 coming up the worst possible thing happened. No not swine flu! not AIDS! RROD!!!!!!!!!!!!!!,negative
" wooooo the tour has started yay, 13 days  have an awesome time! loved the video xD",positive
 _chick Hello,neutral
wtf?! my tweets aren`t posting   super excited about the weekend! <3jfg.,negative
I wish my grandmother had taken me to the US with her,positive
128 days till beyonce,neutral
 hmmm...the one restaurant/one grocery is sad. not the dukbolgi.,negative
 Ciara was great at SNL..Kim...you were mentioned on SNL tonight..Justin T was really good also,positive
More sunburn,negative
 not if you have to be to work at six...,neutral
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive
I am so hungry! And there is no food for me to steal,negative
lmao im stupid just felt like sayin tyaï¿½ in my red caf vioce..nite ya`ll,negative
 haha you would do that =P that`s cute. nobody ever comes to visit me  god **** lake geneva and how far it is from civilizati ...,positive
Just woke up  shopping today for my birthday....kinda,neutral
 lol thanks!,positive
my mother is drunk grrrreat.. It`s okay it`s mothers week,neutral
"Aaaa! I need to work today, Why cant i ever get the weekends off? It makes me want to cry",negative
" See? Sucked you right in.  The only problem will be church/Sunday race conflicts, but that`s why God gave us DVR. :-D _niffer",negative
  are you not well?,neutral
"fine, i give in, docs again today. not being able to breath this morning made me think i should. hate docs",negative
 u think its fair...... k den i guess m wrng.... still i feel its not at all fair....,negative
In a period of exams days are for study and nights for study and sleep... no funny time...,negative
"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki`s book so i can hit a cleaner",neutral
I have a headache. And I have nobody to keep me company.   _wants.to.be.a.kidd.again<3,negative
 hm... Both of us I guess...,neutral
 aw you could have played the **** game with me this morning! Nobody else wanted to play,neutral
" lol `if u knew better, u`d do better, wouldnt wear Uggs in shoe weather...` awww RIP Stack B",negative
 lol   What are your plans for today (or should I say tomorrow) then ?,neutral
 that is definitely a blast from the past,positive
notthebest weekend....but oh well....I have a right to be sad,negative
I can`t get to bed,neutral
"go to my father`s house or not?!that is the question...domestic food and people around me vs my bed,my tv and my world...dont know",neutral
 I made my parents add u guys on the family myspace...they were impressed by the song.,positive
"Thank you, Gerbino, for forcing us starting junior year to make survey mockups. Let me tell you how super helpful this skill has been.",positive
 ummm not with me?,neutral
its ok  saw u with joey thought u looked interesting like the same things on  #SanctuarySunday,positive
"I wonder if she knows how shallow, airy & dumb her tweets make her sound. I guess not b/c if she did...she`d probably stop",negative
My sister graduated today  it was amazing and super emotional. Wow ...,positive
"i want to see go:audio, someone take me please?  5DAYS(L)",neutral
"Headed home, dad duty tonight. Might take the kids to the course again. Although my boys took me for $11 last night in a chipping contest",neutral
" No offense taken..!  Just one of my many controversial views, I guess!",neutral
 Ahhhhh  Well at least I`m up to!,neutral
 im only on 1800  lol,neutral
hahaha yay emily i m cool  ,positive
Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt,neutral
Aim:iloveshawniedur,neutral
i need people to talk to me please im very bored  x  follow me!,negative
 guess Ill drive it back nine hours,neutral
" ...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",negative
 hey you! Did you get my present this morning? Hope u liked it?,neutral
  Happy Mothers day!! ****,positive
" I`m good, thanks.  Hope you`re enjoying the weekend!",positive
Gonna go to my aunts party. It`s gonna be a late night thing so hopfully I can get up for school tomorrow!,neutral
... lunch is no fun when you have nothing to eat.,negative
Reese`s pieces ily,positive
" I saw your tweet a couple of weeks ago that had that hashtag, so wanted to contribute since I am a huge Mitch fan",positive
Feeling like Romeo and Juliet with Bryant and Wallinwood as the Montagues and Capulets...   #fb,neutral
 mama the boys gon be sweating her hard in Pre K  lol muah,neutral
had an awesome time with  and ,positive
"Woke Up,I Wanna Stay In My bed",neutral
 ....... i`m wondering if you`re as awake as i am. ?,neutral
 That`s great news,positive
 SCREAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM - never freu you zu frï¿½h,neutral
started her new job today! aaand so stoked for may long..  and billy is awesome.,positive
Damnit Day 26 is at Northpark mall..I use to live near there  someone steal Mike for meeee!,negative
philosophy final today! thank you  it`s 3 days now!!!!,positive
ARG! Eirtaku got hit by stupid bots. So much **** on a kid friendly site.,negative
Cant wait to see my boy tomorrow,positive
 interesting to see the differing accounts. mandy is always VERY pc in all her accounts. her robbie is a monk!,neutral
My phone does not work in the DONS,negative
the mall i once worked at has turned into a very depressing place,negative
 Thanks for the advice! Went to the doctor`s and slept a lot yesterday  Must be the meds.,positive
"Heading to the gym.  The group of guys that USED to go with me has all quit...well, except for Brandon.   Makes me terribly sad",negative
early phonograph industry? done.. just the rest of APM to revise  and only berry the green rabbit and ribena man for company,neutral
"all alone.  still watching TWW, eating Italian chocolate and solving logic puzzles.",neutral
Back to reality... boo,negative
 yes(: but now,neutral
 may I please have a couple promo codes to your EA apps? Thanks so much!,positive
  ... i have phone calls like that often .. different subject - same result of feeling beaten to pulp and left for dead,neutral
 cheese and onion crisps are the best  alice or rosalie cullen ?,neutral
My hips are too wide to rock those mario Kart shorts  why couldn i have the bone structure of a 12 year old boy?,neutral
Happy birthday.,positive
" Is it bad that I`m sitting here watching a #Pens replay and getting excited? I think it`s the coffee, but... Who knows.",neutral
Is at a photoshoot.,neutral
has now found a bug in the RHEL5 bnx2 driver   Cant handle high packets per second (> 50k),negative
" ****! First Yes, than Frank Zappa...",neutral
"Top 20 ways to go green! http://tinyurl.com/otjttu - this is pretty helpful, and kinda cool actually",positive
" hi angela, can you check your email? I need one thing from you (sorry if it`s your day off  )",negative
"Feels really sick. Just puked my guts out.    help, please.",negative
 your sister would ! hahah thats so funny !! i thought you liked them,positive
 haha i only love you too sissy!!!!!  ring power! lol,positive
  They don`t do car audio,neutral
Happy Mother`s Day Moms  Take a load of for at least a day!,positive
watching 'Say Anything' - great `80s movies and the starting point of my love for John Cusack!,positive
Making pork stir-fry and brown rice for dinner.,neutral
 can you stop working so i can have someone to play with !,neutral
" I think  has found it (http://bit.ly/3pj876 , but I can`t play it",neutral
 I found a link on WWE.com  http://www.wwe.com/inside/industrynews/kennedyreleased stinks!,negative
 tom do u have plans to germany?  answer this for ur germany fas,neutral
Well hopefully the rest of the day gets better.,positive
 hey there! your web URL looks good,positive
 ****. She got it on the first try.,neutral
Ship. I`m stuck.,negative
 Thats beautiful,positive
Happy morning to everyone!,positive
"what up world im just chillin, bout to go get this money!! But in this economy no money is easy money anymore",neutral
in the mood to listen to some Reg stuff  (Sir told me: U used to be a huge fan of mine but now it seems you`ve forgotten my songs!!!) ),neutral
The sun is breaking through the clouds!...and now it`s covered up again.,neutral
" i love your music  especially the fight, thats a awsome song by far !",positive
turning in.  it`s been a loooong day.  just got my new US edition Esquire so going to fantasize that I could one day look like Megan Fox.,neutral
finally finished my marketing project only took me 7 hours..now just hanging out and relaxing,positive
 wowzers! thanks! bang bang misses you on the dance floor,neutral
" I know, she`s great!  The Climb is sooo good!",positive
Ugggh school is so boring! I cant wait for this year to be over. So stressed -.= i shoulda stayed home today....,negative
"_caruso So I took the polish off of the nail of the finger the door handle murdered earlier, and well... it`s not pretty....",negative
 yeah !!,neutral
Prom was awesome.,positive
" Thank you for approving my application at the TWA Forum, honey. Keep up the good work",positive
 the no tweeting guilt trip didn`t stop you huh?  I felt so bad!,negative
Ohhh Ladyhawke is on channel 4  I sort of have a thing for Rutger Hauer http://twitpic.com/4jbzv,neutral
 when it rains it pours - how true is that? I`m so sorry  I hate those kinda times.,negative
 unfortunately I choose sleep over gym almost everyday  trying to get over it!,negative
im so hungry and i have nothing to eat,negative
 I miss you already. All the sad faces you texted me were seriously gonna make me cry.,negative
 ha ha  thank you!,positive
 was always told to keep sucking something like fruit gums,neutral
 FANTASTIC IDEA.. you the man! but I`ll end up all lonely when the tourist goes home,neutral
" Yep, exactly   And I`m really sad about this tour...I know I`m gonna cry at my last M&G....",negative
"Monday is here, One more day",neutral
Photo: hannahisdead: omg i wanna read Pride and prejudice and zombies fuckyeah zombies  http://tumblr.com/xol1qyw8v,negative
 Don`t be mad at me.  Please? ::puppy dog eyes::,negative
 ohhh. hm. I don`t want to screw mine up,neutral
Still in same queue barely 1 metre from where i last twittered. This is insane. And i paid for this,negative
Is going to get a full nights sleep tonight so her arm can get better. It`s no fun being forced to use your left hand,negative
 no.  and she was suggesting it for loan deferment,positive
i wanna see UPPPPPP,neutral
Seen the doctor today. Everything was fine! Might go for ultrasound scan just as a precaution,positive
" BTW: Does it offend you, yeah? - We are rockstars. Pretty ok.",positive
"Ginger biscuits rule !!! (by the way, I urgently need weight scales  )",neutral
happy mother`s day  & later on i can`t wait to see _day26 in concert. lol. well ima see all of day 26 but i like him the most ;D,positive
Why is it soooo cold & ugly out??,neutral
TGIF!!! But also sad that this is last day I get to work with my favorite TV reporter,neutral
 Happy Mother`s Day to you,positive
Finished new moon! Woo! Now i want the next one...,positive
Sugar Free Should Have Gone Through In stead On 2 Grand  They Were So Good and 2 Grand Is A Bit Too Cheesy,neutral
 No. Not professional at all.,negative
...... is an awesome band,positive
Just finished lunch...Subway Eat Fresh.......now gotta go back to work,neutral
 everything is near here in SG! but you have a point--sana hindi sa Jurong East ang office ni ,neutral
 im a pleb  i had to take it out of the freezer.. and put it in the oven!,neutral
Wowzer! It`s very windy. Not good for my allergies!!,negative
"When life, as you know it, doesn`t exist anymore.",negative
euhm i`m french and i don`t really understand English . poo..,neutral
I love Metal Gear Solid 4 and Valkyria Chronicles.,positive
" Lucien Kerk, one of our church vocalists",neutral
 yeah i did haha 3rd episode is up as well,neutral
www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too,neutral
 i hate it,negative
"lovely, my plans have been canceled for the night. another night home alone for me. un-yay",positive
My moms Season 3 of Weeds got burnt up in a family friends mobile home.,negative
" Ha, if i was , I would be pointing out the irony of that last spelling mistake. With swearing.",negative
 like the name  what kind did you get?,neutral
I`m bummed that I can`t wear my sweet Nike kicks to work.,negative
all dressed up and no where to go...,negative
Just found out - http://tinyurl.com/qlrcec - the **** frenchies have set a precedent,neutral
 but i know i can`t,neutral
cook ; do you wanna measure my ****? its daddy-size.,neutral
 -- 5/31 marks the end of our roommate era. And you never made wontons for me again.,neutral
 check out review for the movie Fighting - http://bit.ly/Fle9j  Hilarious!! leave this guy a comment!,neutral
Really really cant sleep  x,neutral
" what on earth happened to wentworth`s page?!? i`m devastated, as i`m sure ALL of his fans are!",negative
 kids will not eat salad so they getting crisps only salad for me and mr can make his bloody own,negative
Yay my friend Glen is here. Now i`m like this,positive
is wishing that i could be famous for acting and dancing,positive
It`s teddy-chucking time,negative
Back to work today but I don`t even mind.,neutral
Morning.  Tweet Tweet.,neutral
"Holy ****...Sharapova is taking a beating from an unseeded qualifier...ok, o back to doubles!",negative
 Me tooo!! Wish I could get you here,neutral
"Today is a sad day for Tucson: http://tr.im/mQ39 I shall miss the sour cream apple pie, fondue, and separate seating for groups with dogs",negative
Mondays aren`t so bad when they are this sunny  #fb,positive
just got home and counting the days till friday,neutral
My dad just told me that he wants to put me up for sale on craigslist,negative
and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,negative
wants to go see street dreams but it`s not playing anywhere near here,neutral
really not lookin forward to monday  bak to college,negative
" I want too soo bad, I hate missing GUMBO, but I have a shoot tommorrow that I have to be at for 8:30.  So No GUMBO for me....",negative
 Hey Nia! I used to be the PD at Hot 102.9 in Dayton. I met you in Cincinnati at the Wiz Christmas party. Hope all is well!,neutral
  sitting next to magicmoment,neutral
" thanks ALOT, stuck at work with it too",positive
"  Good morning, gents!  How are ya today?",neutral
what fun!  I got retweeted by a bot,positive
"i wanna move to england! 'ello, i must go to the loo. i will head to my caddy,yes.' gahaha and the awesome accent.",positive
I hate funerals.,negative
Tonight is my last night in my apartment...,neutral
rblpnBro  Not quite where I need to be here ... sad but true. Soon however all will be WELL  6wks ? http://blip.fm/~5z4ve,negative
 yes ma`am u do have a pretty smile. but you also won`t eat chipotle with me.,neutral
shoutout to all the beautiful moms out there that these niggas dont appreciate! some one cares Happy Mothers Day!,neutral
"_Henrie oh my god, yeah! that cake looks delish! i hope you shared it! haha.",positive
"http://twitpic.com/67xv3 - Former Pawnshop were Jimi Hendrix got his 1st guitar, Seattle. Now a check cashing joint",neutral
" have to avoid the burning desire to say I already have one  no, no room for piglets, just enough room for chucks",neutral
_Exp not where i live.,neutral
 someone really needs to make a kit like that avaialble for home use,neutral
http://twitpic.com/67hw5 - Session almost over,neutral
Can I get some gd news for gods sake,negative
summer clothes panic over..I see rain clouds !!  still going swimming though..I`m feeling in a holiday mood,neutral
"I don`t think that im feeling too well. all the sudden, im tired but scared to fall asleep cuz I know I will wake up sick.",negative
I have just read up on lactose stuff and I CAN EAT HARD CHEESE!!! There is no lactose in it!!! *Jumps of Joy this rainy day* YAY!!!!,positive
" Hey, sorry I didn`t get in touch sooner! We didn`t go by Bologna. It was out of our way",negative
gotta go! bye twitterland!  good night! i`ll try sleep. so that i will recover easily! still sick!  bye!,neutral
 let be me your first,neutral
I really want to be a star...Hope Flawless will work,positive
hmmm i neeeddd foooddd  nd is looking forward 2 playing with the puppy 2 day nd seeing lewishhh,neutral
 no.  I lost the link you sent when I had to pull my battery.,negative
"I woke up at 5:45. Didn`t have a full bladder, wasn`t sick... And to top it off, I went for a run. Now I wanna go back to bed",neutral
"where are all ma bestfriends at ? , MIA or wat ?",neutral
Spent some time with the Guild Wars 4th birthday update. Menagerie is a welcome new feature... For Rangers anyway.,positive
Finally back from the stupid holiday ! Missing the fit bar men though,negative
Goodmorning,positive
'Stop your twittering' - Maryland cookies #bgt,neutral
 Don`t leave forever! We`ll miss you too much,negative
"_Brad oh, cuz id like to use it on a whole heap on bitchy girls I knoww",neutral
 your new song is AMAZING,positive
Doesn`t have to go to work tomorrow! Good times! Revision though,positive
 You needed to watch the White House Correspondent`s Dinner. That would have cheered you up!,positive
Maybe I`m lacking in Friday feeling cos more of my trousers won`t go on  Thunder thighs!,negative
"Ever since Orchid quit drinking from a bottle, she`s been eating us out of house and home! Holy **** girl! Still not drinking milk though",neutral
 Wow.  is constantly ranting about his love for Genghis Grill too. Never been there; not here in Colorado.,positive
 rubbish!,negative
Sometimes I could swear I really am insane.,negative
" awww, im so sorry hun  im sure she didn`t do it on purpose though, she seems so sweet! Maybe it was a 24 hour thing? :s",negative
going back home tonight,neutral
"missed all the awesome weather, because she was in a movie!",negative
 Thats awesome!!  Good idea!!,positive
"I feel bad over everything..  How can I be so stupid? Why was I so harsh? Its my fault, I know it. I`m sorry SaVvy, love you guys<3",negative
I love Stereosound HQ headphones,positive
 So sorry I missed it!,negative
3rd day of pain,neutral
Drinking bud light lime,neutral
cant fall asleep,neutral
Taking the caltrain to go see the giants. It`s Cold and someone smells like pee,negative
" Tis a book...called Love, **** and Tragedy. Highly interesting. Influence of classical on modern world",positive
Okay...So I have an AIM account now...Send me ur S/N`s on there so I can add u...Thx!,positive
 yes but 75% are on the wrong wireless plan,negative
whew. did some more vacuuming. what a good time! You should vacuum.,positive
someone take me to LA  I NEED TO SEE THE LEMON TREE,neutral
Why did sound input for my computer stop working?  It`s not the mic or jack (USB webcam mic doesn`t work either) Checked input controls.,negative
 If it makes you feel better I lost 10 overnight cause I posted a picture of a baby,positive
craving coffee,neutral
" hi there, nice to meet you.  I am new to twitter and I guess you are too?",positive
"Wanted to take a photo of the storm, but misplaced my camera!",neutral
my brother left me for the day now I am here by myself,neutral
 i am glad cos u wouldnt lose me as a fan anyway  i get to see you guys on saturday evening at leicester  it better be good!,positive
"Had a shower. it`s 5:55 PM. Triple 5`s! ****, it just turned 5:56",neutral
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative
Finally gonna try and fall asleep goodnight.. More like morn... I sleeP,positive
" sold out in 6 stores, i don`t think so",neutral
"Its prob cuz I don`t really like sleeping in late, even if I tried.",negative
 it is! ive done somethign like 200 updates today :S,neutral
  it might be the swine flu! haha `cause i`ve got the flu,negative
 we miss you,negative
 hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks,neutral
Happy Star Wars Day! .... May the 4th Be with You!,positive
A friend is someone who will help you move. A real friend is someone who will help you move a body,positive
 oh I am so sure they do get everything. They live their like celebrities,positive
"Sorry if I`m unsociable I`m loading up stock in the shop, mums making me",neutral
Bank holiday in London! woohoo,neutral
Greg back in the top 10. This is why I love Nascar.,positive
Candle wax is very enjoyable.,positive
Finally got my money. Too bad it goes to bills,negative
"  Ya, it was pretty bad. Not sure when I will get to go visit. We have been super busy lately.",negative
" You too, my friend",neutral
Coffee didn`t turn out good tiday but excellent!,neutral
 Fresh change from hearing i write sins hey!!?? Not that theres anything wrong with that!,neutral
aw. nick got his heart broken.  poor baby. i love you!,neutral
Totally just skid all over the road.,neutral
_TRUESDALE lmao! you a mess.  Im gonna be in ATL in a few weeks,negative
 http://twitpic.com/45r61 -  saddest thing i`ve seen a while,negative
Just home from work!!!!! Need to continue packing. Raerae is gone for the weekend.   Mya and I are hanging out,neutral
i am talking on the phone!!!!!! to paul!!!,neutral
"Yesterday was AWESOME ! Sunny day, best friends, good food & tons of fun - what more could you ask for ?",positive
